Nome,Sexo,CPF,Idade,Email,ENEM,Abandono,AbandonoSemestre,CRA_apos2,CRA_apos4,CRA_apos6
Luiz Miguel Alves,M,760.258.941-67,21,lda-luz@example.com,755,True,1.0,0.0,0.0,0.0
Luiz Henrique Ribeiro,M,936.587.120-40,23,moreiraluana@example.com,778,False,0.0,9.845495377745044,9.154826376606035,7.638343854965202
Ana Beatriz Porto,F,679.158.243-09,18,ramosraquel@example.com,797,True,5.0,9.408608768926655,7.33895001389468,0.0
Isis Fernandes,F,269.807.341-13,25,ramosmiguel@example.com,643,False,0.0,6.618683069413849,6.122571815649048,5.373923800524517
Helena Moreira,F,432.750.691-52,20,wmoreira@example.net,679,True,4.0,5.343172319234997,0.0,0.0
Ana Luiza Ribeiro,F,601.534.982-42,21,julia48@example.org,753,True,3.0,5.73187617318516,0.0,0.0
Daniela Cavalcanti,F,917.580.634-75,27,lorenzo79@example.org,724,False,0.0,8.181147776720834,8.623102421221065,7.8715213128390475
Isabel Santos,F,894.017.362-78,22,ana-carolinamelo@example.com,715,False,0.0,9.63968198635922,9.675976559635753,5.626414191883289
Maria Luiza Costa,F,678.039.415-75,22,sofiaoliveira@example.org,695,True,6.0,8.315961655072957,5.035692028638431,0.0
Danilo Lima,M,347.810.256-17,23,amanda74@example.org,786,True,7.0,5.950713399681506,8.416948539816396,7.119533677729091
Guilherme Moraes,M,687.094.523-38,19,tnunes@example.net,683,True,2.0,0.0,0.0,0.0
Helena Gomes,F,487.253.190-60,26,rduarte@example.org,696,False,0.0,9.776250700916828,6.302064816495809,5.0848431888353955
Leonardo Pinto,M,043.275.681-71,21,moraesemilly@example.net,712,True,7.0,8.265880421728898,6.412944409069478,8.756231078328849
Isabel Ferreira,F,289.613.574-09,22,piresana-julia@example.org,784,True,1.0,0.0,0.0,0.0
Ana Luiza Lima,F,501.874.392-14,22,vitor85@example.com,690,True,7.0,7.174073237220552,9.257196912653555,5.943550433146722
Bárbara Pires,F,745.968.120-20,20,vitorda-mata@example.com,654,True,6.0,7.159461218930902,5.213440073793349,0.0
Vicente Aragão,M,409.716.253-52,21,joao-pedropereira@example.net,675,False,0.0,7.153430217681267,9.428369735501938,9.067047908157239
Dra. Alana Porto,F,438.652.971-37,19,rfarias@example.net,675,False,0.0,8.34046202641748,5.0516367609263595,7.670058466708443
Isadora Rocha,F,976.083.541-00,28,moraesmelissa@example.net,786,True,3.0,5.013426641022974,0.0,0.0
Dr. Luiz Otávio Cunha,M,874.315.902-88,27,costelanicole@example.net,687,True,7.0,8.093822885827148,9.605745425159721,8.410254038640272
Pedro Miguel Teixeira,M,761.340.285-17,20,maria-cecilia92@example.org,698,True,4.0,9.761648316820715,0.0,0.0
Sra. Brenda Cavalcanti,F,143.706.528-71,24,sofiaazevedo@example.net,736,True,3.0,8.726221235185866,0.0,0.0
Miguel Lopes,M,841.293.576-46,18,evelyn47@example.com,690,False,0.0,5.770082001706365,5.297018525763581,8.026581100354647
Luana Mendes,F,056.847.392-29,24,viniciuscavalcanti@example.net,714,False,0.0,8.307709903607785,5.869371793196408,8.829716042525703
Pedro Henrique Nogueira,M,731.649.058-66,26,spinto@example.net,782,True,5.0,8.51324924533364,5.0672812275276335,0.0
Mariane Cardoso,F,621.759.084-02,22,dsantos@example.net,751,False,0.0,7.511156258254372,8.397363330635622,6.13045125551439
Olivia da Mata,F,821.043.697-03,23,fogacamariane@example.com,766,True,1.0,0.0,0.0,0.0
Srta. Ana Júlia Vieira,F,893.254.671-19,19,fcastro@example.net,649,True,5.0,7.420816510202074,6.154188861948374,0.0
Pietro Costa,M,514.392.670-06,22,unascimento@example.com,751,True,7.0,8.713672772607273,7.1161846442986265,8.396528730147844
Bryan das Neves,M,729.803.415-41,25,zda-cunha@example.com,659,False,0.0,8.932553364547374,5.136192975493309,6.729624281857555
Clara Novaes,F,165.937.420-07,25,peixotovicente@example.org,747,False,0.0,7.7788746145208565,8.181919365315519,7.581696696430966
Thomas Rocha,M,785.320.946-00,26,fariasmaria@example.org,703,True,1.0,0.0,0.0,0.0
